title,price,description,city,views,url,year,mileage,engine_l,fuel,gearbox,car_age,price_per_year,price_per_km,price_z
OMODA S5 Luxury,8490000.0,"2025 г., новый седан, 1.5 л, бензин, КПП вариатор, черный, металлик, литые диски, дневные ходовые огни, обогрев зеркал...",Кызылорда,0,https://kolesa.kz/a/show/204119183?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=1,2025.0,,1.5,petrol,cvt,0.0,inf,,-0.2703204166893572
Toyota Camry,14200000.0,"2018 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 121 000 км, металлик, кожа, Дилерский. Родной пробег. В род...",Астана,0,https://kolesa.kz/a/show/207464221?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=2,2018.0,121000.0,2.5,petrol,automatic,7.0,2028571.4285714286,117.35537190082644,0.07519903749439201
Jaecoo J8 Comfort,14990000.0,"2025 г., новый кроссовер, 2 л, бензин, КПП робот",Алматы,0,https://kolesa.kz/a/show/180677062?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=3,2025.0,,2.0,petrol,other,0.0,inf,,0.1230029549734046
ВАЗ (Lada) 2112,700000.0,"2004 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, с пробегом 250 000 км, серебристый, металлик, Продам авто в хорошем...",Астана,0,https://kolesa.kz/a/show/207465060?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=4,2004.0,250000.0,1.6,petrol,manual,21.0,33333.333333333336,2.8,-0.7417033498051901
Toyota Land Cruiser Prado,24900000.0,"2018 г., Б/у внедорожник, 2.7 л, бензин, КПП автомат, с пробегом 67 780 км, черный, металлик, ксенон, биксенон, хруста...",Алматы,0,https://kolesa.kz/a/show/207436109?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=5,2018.0,67780.0,2.7,petrol,automatic,7.0,3557142.8571428573,367.3650044260844,0.7226698185392461
GAC GS3 Standart,9990000.0,"2025 г., новый кроссовер, 1.5 л, бензин, КПП автомат",Актау,0,https://kolesa.kz/a/show/204351322?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=6,2025.0,,1.5,petrol,automatic,0.0,inf,,-0.1795534847671814
Lexus RX 500h,39500000.0,"2024 г., Б/у кроссовер, 2.4 л, бензин, КПП автомат, с пробегом 11 000 км, черный, металлик, кожа, дерево, ABS, SRS, Ку...",Алматы,0,https://kolesa.kz/a/show/207465084?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=7,2024.0,11000.0,2.4,petrol,automatic,1.0,39500000.0,3590.909090909091,1.606134622581757
GAC GS3 Flagship,11290000.0,"2025 г., новый кроссовер, 1.5 л, бензин, КПП автомат",Алматы,0,https://kolesa.kz/a/show/204357343?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=8,2025.0,,1.5,petrol,automatic,0.0,inf,,-0.10088881043462902
Hyundai Sonata,10800000.0,"2020 г., Б/у седан, 2 л, газ, КПП автомат, с пробегом 155 000 км, черный, металлик, литые диски, люк, ветровики, ксено...",Алматы,0,https://kolesa.kz/a/show/207464819?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=9,2020.0,155000.0,2.0,gas,automatic,5.0,2160000.0,69.6774193548387,-0.13053934152920646
GAC Trumpchi M8 GT,22490000.0,"2024 г., новый минивэн, 2 л, бензин, КПП автомат",Караганда,0,https://kolesa.kz/a/show/204366865?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=10,2024.0,,2.0,petrol,automatic,1.0,22490000.0,,0.5768376145842836
