title,price,description,city,views,url
ВАЗ (Lada) Lada 2121,2 000 000₸,"2008 г., Б/у внедорожник, 1.7 л, бензин, КПП механика, с пробегом 160 000 км, белый, велюр, Машина в отличном состояни...",Алматы,0,https://kolesa.kz/a/show/207117446?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=1
Mitsubishi Delica,8 500 000₸,"1995 г., Б/у минивэн, 3 л, бензин, Правый руль, КПП автомат, с пробегом 220 000 км, черный, металлик, литые диски, тон...",Алматы,0,https://kolesa.kz/a/show/205868127?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=2
BMW 528,6 500 000₸,"2012 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 273 000 км, черный, литые диски, тонировка, люк, спойлер, обв...",Караганда,0,https://kolesa.kz/a/show/206593170?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=3
Toyota Camry,6 050 000₸,"2011 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 174 000 км, серый, литые диски, тонировка, люк, кожа, MP3,...",Актау,0,https://kolesa.kz/a/show/207108864?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=4
Mazda 626,1 800 000₸,"1998 г., Б/у универсал, 1.8 л, бензин, КПП механика, с пробегом 444 444 км, ~ Бір қолда 8 жыл болды жургеніне ~ Тартыс...",Шымкент,0,https://kolesa.kz/a/show/207105826?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=5
Kia Seltos,11 500 000₸,"2023 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат, с пробегом 20 000 км, Авто не Китай обычный 1.6 и обычный Акпп 6-с...",Караганда,0,https://kolesa.kz/a/show/207101289?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=6
Toyota Land Cruiser Prado,3 200 000₸,"1994 г., Б/у внедорожник, 3 л, дизель, Правый руль, КПП автомат, с пробегом 394 884 км, красный, литые диски, тонировк...",Алматы,0,https://kolesa.kz/a/show/199198073?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=7
Toyota RAV4,8 800 000₸,"2018 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат, с пробегом 111 000 км, белый, велюр, кондиционер, СРОЧНО САТЫЛАДЫ....",Актау,0,https://kolesa.kz/a/show/202988621?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=8
Hyundai Elantra,7 800 000₸,"2019 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 168 679 км, белый, литые диски, тонировка, аудиосистема, встр...",Кызылорда,0,https://kolesa.kz/a/show/204674201?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=9
Hyundai Creta,8 500 000₸,"2019 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат, с пробегом 170 000 км, белый, металлик, литые диски, ветровики, ре...",Талдыкорган,0,https://kolesa.kz/a/show/203368981?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=10
