iter	RMSE
0	14529122.27
1	13491399.32
2	12453199.26
3	11609620.64
4	10699373.32
5	9962039.879
6	9253420.755
7	8621104.55
8	7992523.62
9	7406109.084
10	6939657.664
11	6465014.709
12	6052146.736
13	5660356.416
14	5272589.621
15	4953903.349
16	4643740.713
17	4331519.442
18	4102242.951
19	3869688.875
20	3659559.932
21	3457924.283
22	3281853.275
23	3115900.737
24	2964851.385
25	2830663.163
26	2663785.942
27	2535501.501
28	2428142.01
29	2325544.906
30	2223293.883
31	2107468.167
32	2026036.38
33	1933862.85
34	1862466.269
35	1797130.272
36	1738549.355
37	1681545.276
38	1618760.308
39	1557771.247
40	1513304.571
41	1470615.269
42	1434365.306
43	1405808.462
44	1381259.212
45	1341742.307
46	1311341.993
47	1289934.551
48	1265436.107
49	1237527.181
50	1217291.45
51	1191141.458
52	1173055.367
53	1155521.001
54	1141196.006
55	1124723.414
56	1106726.287
57	1093505.925
58	1069780.078
59	1047520.312
60	1033859.811
61	1023665.45
62	1011603.063
63	996412.771
64	982703.1805
65	970503.9303
66	961994.859
67	952744.2283
68	944065.2802
69	934984.5117
70	910615.3357
71	888317.4406
72	881225.5171
73	859748.6185
74	850240.4778
75	826103.1455
76	818321.4194
77	810478.5736
78	802054.4922
79	795028.0402
80	788699.5286
81	784400.3513
82	780409.9339
83	764052.374
84	758849.3217
85	754152.9174
86	737012.6495
87	732301.7747
88	727055.1981
89	723295.0283
90	719644.5371
91	715063.9739
92	701046.721
93	686877.2996
94	683485.5946
95	670327.9061
96	666031.0999
97	663171.7721
98	660596.4186
99	656520.0422
100	652804.0287
101	650450.8406
102	634687.4961
103	632639.4704
104	629468.2238
105	613123.8806
106	610704.3517
107	608750.7577
108	605151.9364
109	597505.1466
110	594339.127
111	582459.3625
112	579442.5809
113	577029.9305
114	574723.3768
115	563039.8141
116	560045.9816
117	550170.0773
118	547562.7859
119	543577.6706
120	541493.4228
121	539548.6123
122	537135.8826
123	528323.7385
124	526271.3461
125	515923.8353
126	513949.587
127	512074.2387
128	510224.516
129	503019.5871
130	493580.5346
131	487136.4281
132	485538.6478
133	484017.019
134	475957.0092
135	474492.5132
136	473097.3337
137	466775.0163
138	465342.7955
139	459582.4475
140	456330.3929
141	454277.6933
142	451436.1312
143	450091.0815
144	444768.7009
145	439980.7116
146	434654.4948
147	433577.9273
148	428274.1291
149	425707.5348
150	420114.4664
151	414893.1659
152	412214.3677
153	411243.4445
154	408236.8936
155	404464.8677
156	403557.1463
157	400123.6949
158	396087.1806
159	391506.1887
160	388246.8829
161	384268.0803
162	383360.5579
163	382530.7478
164	379351.4958
165	378503.3058
166	375533.4473
167	370530.881
168	366711.6064
169	363835.5519
170	360334.2017
171	359329.4352
172	357905.4149
173	356344.7792
174	354236.4868
175	350491.7252
176	349588.9788
177	348701.2213
178	344453.8434
179	341254.667
180	337890.3246
181	336002.6231
182	332687.7301
183	330699.4149
184	328654.8143
185	325769.117
186	323847.1991
187	322515.0878
188	321610.1798
189	318734.8621
190	317582.5918
191	316395.2267
192	314077.0122
193	312967.0057
194	310701.4961
195	308190.6438
196	305820.604
197	303981.6288
198	301975.4483
199	300544.8302
200	298113.5815
201	295615.8447
202	292445.7704
203	290434.8003
204	287868.0282
205	286285.3975
206	285100.8059
207	283027.4901
208	280907.9934
209	279045.068
210	277973.7014
211	275340.5222
212	274257.724
213	273704.0693
214	271554.7005
215	270694.1364
216	269146.8495
217	266621.0009
218	265485.8057
219	262973.4946
220	262038.7734
221	260421.3773
222	258556.4126
223	256031.7998
224	255126.4877
225	252727.852
226	250783.8861
227	249253.062
228	248194.9989
229	246417.3323
230	245665.5869
231	243401.9393
232	242217.4862
233	240268.306
234	238377.0754
235	236860.3981
236	235469.2254
237	234136.4763
238	232424.9537
239	231153.3207
240	230461.1073
241	229977.4464
242	228776.7771
243	227047.3822
244	226502.2115
245	225149.3539
246	224195.1119
247	223305.7978
248	221688.7476
249	220043.6726
250	218643.5607
251	217103.8852
252	216454.0411
253	215390.5878
254	214043.5677
255	213106.2782
256	211985.9862
257	211529.1236
258	210947.5973
259	210811.4674
260	209412.3479
261	208551.6482
262	208276.3931
263	206994.1373
264	206376.7713
265	205348.8634
266	204838.4637
267	204458.8304
268	203625.3645
269	202212.1335
270	201546.2029
271	200585.0434
272	200084.1096
273	199010.1881
274	197641.8268
275	196333.0139
276	195619.0948
277	195212.0096
278	194196.2722
279	192965.9115
280	191976.5315
281	191175.0431
282	190499.2965
283	190186.9538
284	189107.0718
285	188532.5349
286	188016.4525
287	186844.3753
288	186128.8526
289	184898.5435
290	184689.812
291	184239.1102
292	184000.2578
293	183536.1014
294	182476.3166
295	181689.3336
296	180555.8856
297	179627.5
298	179161.4638
299	178702.3864
