iter	Passed	Remaining
0	62	18590
1	63	9475
2	65	6439
3	66	4916
4	67	3997
5	69	3389
6	70	2959
7	72	2628
8	73	2371
9	74	2163
10	75	1993
11	77	1853
12	78	1733
13	79	1628
14	80	1538
15	82	1460
16	83	1391
17	85	1334
18	86	1282
19	87	1230
20	89	1183
21	90	1140
22	91	1101
23	92	1065
24	93	1032
25	95	1001
26	96	972
27	97	946
28	98	921
29	99	897
30	101	877
31	102	858
32	103	838
33	104	820
34	106	803
35	107	786
36	108	770
37	109	755
38	110	741
39	111	727
40	113	714
41	114	701
42	115	689
43	116	678
44	117	665
45	118	654
46	119	644
47	120	635
48	122	625
49	123	616
50	124	607
51	125	599
52	126	591
53	127	583
54	129	575
55	130	568
56	131	562
57	133	555
58	134	549
59	135	543
60	137	537
61	138	531
62	139	524
63	140	518
64	141	512
65	142	506
66	144	501
67	145	496
68	146	490
69	147	485
70	148	480
71	150	475
72	151	470
73	152	465
74	153	461
75	155	457
76	156	452
77	157	448
78	158	444
79	160	440
80	161	436
81	162	432
82	163	428
83	165	424
84	166	420
85	167	417
86	169	413
87	170	410
88	171	406
89	172	403
90	174	400
91	175	396
92	176	393
93	178	390
94	179	386
95	180	383
96	181	380
97	182	377
98	184	374
99	185	371
100	187	368
101	188	365
102	189	362
103	190	359
104	191	356
105	193	353
106	194	350
107	195	347
108	196	345
109	198	342
110	199	339
111	200	336
112	202	334
113	203	331
114	204	328
115	205	326
116	206	323
117	208	320
118	209	318
119	210	315
120	211	313
121	212	310
122	214	308
123	215	305
124	216	303
125	218	301
126	219	299
127	220	296
128	222	294
129	223	291
130	224	289
131	225	287
132	226	284
133	228	282
134	229	280
135	230	277
136	231	275
137	233	273
138	234	271
139	235	269
140	237	267
141	238	265
142	239	262
143	240	260
144	241	258
145	243	257
146	245	255
147	246	252
148	247	250
149	248	248
150	250	246
151	251	244
152	252	242
153	253	240
154	254	238
155	256	236
156	257	234
157	258	232
158	259	230
159	261	228
160	262	226
161	263	224
162	264	222
163	265	220
164	267	219
165	269	217
166	270	215
167	271	213
168	272	211
169	273	209
170	275	207
171	276	205
172	277	203
173	278	201
174	279	199
175	281	198
176	282	196
177	283	194
178	284	192
179	285	190
180	286	188
181	288	186
182	289	184
183	290	183
184	291	181
185	292	179
186	294	177
187	295	175
188	296	174
189	297	172
190	299	170
191	300	169
192	301	167
193	302	165
194	304	163
195	305	162
196	306	160
197	307	158
198	309	156
199	310	155
200	311	153
201	312	151
202	313	149
203	314	148
204	316	146
205	317	144
206	318	143
207	319	141
208	320	139
209	322	138
210	323	136
211	324	134
212	325	132
213	326	131
214	327	129
215	329	127
216	330	126
217	331	124
218	332	123
219	333	121
220	335	119
221	336	118
222	337	116
223	338	114
224	339	113
225	341	111
226	342	110
227	343	108
228	344	106
229	345	105
230	346	103
231	348	102
232	349	100
233	350	98
234	351	97
235	353	95
236	354	94
237	355	92
238	356	91
239	358	89
240	359	87
241	360	86
242	361	84
243	362	83
244	363	81
245	365	80
246	366	78
247	367	77
248	368	75
249	369	73
250	371	72
251	372	70
252	373	69
253	374	67
254	376	66
255	377	64
256	378	63
257	379	61
258	380	60
259	382	58
260	383	57
261	384	55
262	385	54
263	386	52
264	387	51
265	389	49
266	390	48
267	391	46
268	392	45
269	393	43
270	394	42
271	396	40
272	397	39
273	399	37
274	400	36
275	402	34
276	403	33
277	404	32
278	405	30
279	406	29
280	408	27
281	410	26
282	411	24
283	412	23
284	413	21
285	415	20
286	416	18
287	417	17
288	419	15
289	421	14
290	422	13
291	424	11
292	425	10
293	427	8
294	428	7
295	429	5
296	431	4
297	433	2
298	435	1
299	436	0
